w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
w,0,0,r,0,r,0,r,0,0,r,r,0,0,0,0,0,0,r,w
w,4,0,w,0,0,0,0,0,0,0,0,0,0,g,0,r,0,0,w
w,0,0,r,r,r,0,r,r,r,0,0,0,0,0,0,0,0,0,w
w,0,0,0,0,0,0,r,r,r,r,r,0,0,r,r,0,0,0,w
w,0,0,r,0,0,0,0,0,0,0,0,0,0,0,r,0,r,0,w
w,0,0,r,0,0,0,0,0,0,0,0,0,0,0,r,0,0,0,w
w,0,0,r,0,0,r,r,r,r,r,0,0,r,0,0,0,0,0,w
w,0,0,r,0,0,0,0,0,0,0,0,r,r,0,r,0,0,0,w
w,0,0,0,0,0,0,r,0,0,0,0,r,0,0,0,0,0,0,w
w,p,0,0,0,0,0,r,0,0,0,0,r,0,0,0,r,0,0,w
w,r,r,r,0,0,0,r,0,r,0,0,0,0,r,0,r,r,r,w
w,0,0,0,0,0,0,0,0,r,0,0,0,0,0,0,r,0,0,w
w,0,0,0,0,r,0,0,0,r,0,0,r,r,r,r,r,r,0,w
w,0,0,0,0,r,0,0,0,0,0,0,0,0,0,0,0,0,0,w
w,0,0,0,0,r,r,r,0,0,0,0,0,0,0,0,0,0,0,w
w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
