0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w
0,4,0,r,0,0,0,0,0,0,0,0,0,0,g,0,r,0,0,0,0,0,r,0,0,0,0,0,0,0,0,w
0,0,0,r,r,r,0,r,r,r,0,0,0,0,0,0,0,0,0,0,0,0,r,0,0,0,0,0,0,0,0,w
0,0,0,0,0,0,0,r,r,r,r,r,0,0,r,r,0,0,0,0,0,0,r,0,0,0,0,0,0,0,0,w
0,0,0,r,0,0,0,0,0,0,0,0,0,0,0,r,0,r,0,0,0,0,r,0,0,0,0,0,0,0,0,w
0,0,0,r,0,0,0,0,0,0,0,0,0,0,0,r,0,0,0,0,0,0,r,0,0,0,0,0,0,0,0,w
0,0,0,r,0,0,r,r,r,r,r,0,0,r,0,0,0,0,0,0,0,0,r,0,0,0,0,0,0,0,0,w
0,0,0,r,0,0,0,0,0,0,0,0,r,r,0,r,0,0,0,0,0,0,r,0,0,0,0,0,0,0,0,w
0,0,0,0,0,0,0,r,0,0,0,0,r,0,0,0,0,0,0,0,0,0,r,0,0,0,0,0,0,0,0,w
0,p,0,0,0,0,0,r,0,0,0,0,r,0,0,0,r,0,0,0,0,0,r,0,0,0,0,0,0,0,0,w
0,r,r,r,0,0,0,r,0,r,0,0,0,0,r,0,r,r,r,0,0,0,r,0,0,0,0,0,0,0,0,w
0,0,0,0,0,0,0,0,0,r,0,0,0,0,0,0,r,0,0,0,0,0,r,0,0,0,0,0,0,0,0,w
0,0,0,0,0,r,0,0,0,r,0,0,r,r,r,r,r,r,0,0,0,0,r,0,0,0,0,0,0,0,0,w
0,0,0,0,0,r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,0,0,0,0,0,0,0,0,w
r,0,0,0,0,r,r,r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,0,0,0,0,0,0,0,0,w
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,0,0,0,0,0,0,0,0,w
w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
